id,first_name,gender,car_make,car_year,latitude,longitude
1,Ricard,Male,Buick,1988,32.686,-95.002
2,Peirce,Male,Acura,2002,35.246,-95.129
3,Evyn,Male,Chrysler,1995,31.389,-99.427
4,Yulma,Male,Maserati,2004,30.987,-95.856
5,Wayne,Male,Chevrolet,1967,33.033,-96.626
6,Jemmie,Female,Mercedes-Benz,2002,35.556,-97.406
7,Eleanor,Female,Nissan,1994,29.599,-102.204
8,Terrence,Male,Acura,2002,31.135,-102.568
9,Lucho,Male,Chevrolet,1979,31.039,-103.545
10,Alleen,Female,Chevrolet,1999,26.158,-102.42
11,Judith,Female,Hyundai,2012,27.579,-103.431
12,Pennie,Female,Pontiac,1998,35.978,-96.152
13,Rem,Male,Infiniti,2004,27.583,-95.058
14,Fredrika,Female,Ford,2004,29.1,-93.694
15,Karolina,Female,Pontiac,2010,35.55,-97.179
16,Bennett,Male,Chevrolet,1994,30.27,-100.629
17,Joy,Female,Mercedes-Benz,2010,30.167,-99.399
18,Livia,Female,BMW,2001,28.239,-98.954
19,Willetta,Female,Toyota,2008,27.668,-100.145
20,Jeanna,Female,Pontiac,2006,31.896,-96.143
21,Gennifer,Female,Toyota,1992,34.687,-103.973
22,Gustavo,Male,Mazda,2011,30.321,-100.779
23,Lemar,Male,Subaru,1998,31.252,-104.605
24,Carlyn,Female,Chevrolet,1994,31.796,-99.663
25,Constantine,Male,BMW,2009,32.792,-102.852
26,Alyss,Female,Lotus,1988,27.382,-96.803
27,Tana,Female,Volvo,2011,30.616,-102.244
28,Rossy,Male,Chevrolet,2010,28.512,-95.645
29,Seward,Male,Saab,2009,34.401,-98.993
30,Mayer,Male,Oldsmobile,1998,29.567,-101.677
31,Stanleigh,Male,Lotus,2004,28.75,-99.609
32,Raleigh,Male,Hyundai,2005,30.838,-99.029
33,Vanni,Female,Nissan,1992,35.265,-99.287
34,Tommy,Female,Mercedes-Benz,2002,31.368,-101.098
35,Conney,Male,Geo,1993,28.326,-105.233
36,Stanly,Male,BMW,2001,30.145,-100.412
37,Ricky,Male,Pontiac,1988,29.191,-97.416
38,Ellynn,Female,BMW,2007,31.656,-95.052
39,Darcy,Female,Pontiac,1987,31.362,-97.434
40,Gunilla,Female,Mitsubishi,1988,29.426,-96.074
41,Cecilius,Male,Toyota,2010,35.06,-102.056
42,Correy,Male,Toyota,2004,35.382,-95.015
43,Karoly,Female,Mitsubishi,1997,33.64,-105.676
44,Dode,Female,Jeep,2003,34.822,-98.978
45,Halli,Female,Mitsubishi,1984,34.476,-105.03
